GPSPointLocation,CulvertID,CulvertAccessibility,ReasonforInaccessability,InletisMDIorSCI,Material,NumberofCulverts,InletEndSectionType,OutletEndSectionType,DropInletDetails,Culvert_Shape,PhysicalDamage,Corrosion,SpanIn,RiseIn,WidthofMultiCulvertsFt,Silting,Scour,Erosion_Control,ChannelType,ChannelCondition,Skew,DegreesofSkew,Comments,Collector,Correctionsource,Workspace,DeviceID,CorrStatus,CreationDateTime,UpdateDateTime,HorizEstAcc,VertEstAcc,TaskName,Photos_Multiple,X,Y,Z
Outlet,C286,No,Silted Up,No,Corrugated Metal,1,Metal End Section,Metal End Section,,Circular,None,Moderate (Rusting on Inside AND Outside),,,,>90% Silted,Little or no Scour ( < 1 ft),,No Channel Evident,,Normal,,,culvertam3@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-01T17:05:24.872736,2023-06-01T17:09:53.642727,1.63,2.44,,https://na.api.maps.trimblegeospatial.com/forms/images/46972af6-f38a-43d1-840e-89ad126f5f16?hash=Zxu7qqlfZ4rjEQCqdVf8tn7xA%2bdsWKJZHMSOaMTrPYY%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/bb84431d-8ee0-432f-891f-670b535aea9b?hash=Crt%2fx7P31KlAlC8TyCV6w%2ft2Bt3fGgdMEEXUHQb0L%2fg%3d&projectId=bo9nt6JWFsc,-108.21665089845084,36.03782869302987,1852.5877905849106
Outlet,D790,Yes,,No,Corrugated Metal,1,No End Section,No End Section,,Circular,Moderate Damage (metal),Moderate (Rusting on Inside AND Outside),30,30,,Minor Silting (<10%),Little or no Scour ( < 1 ft),None,No Channel Evident,,Normal,,,culvertam4@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-21T09:17:35.393563,,1.09,1.63,,https://na.api.maps.trimblegeospatial.com/forms/images/260c7632-56bb-4148-bc94-3bcdbb6299dc?hash=TVj8Sl9pOjeq28PUckiO43OsIedv643DgMNqllTWfAM%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/4993d8fe-0da8-443d-8e98-968e25bb1f5d?hash=HdG1rP%2bWhT9DaUpTgbIWGB9svZSf5ynmn57vJWG1LQg%3d&projectId=bo9nt6JWFsc,-106.86714307247568,36.35532061948087,2151.440154826629
Turnouts (Road),E370,Yes,,No,Corrugated Metal,1,Concrete Slope Blanket with Safety Grate,Concrete Slope Blanket with Safety Grate,,Circular,None,None Evident,24,24,,Clean,Little or no Scour ( < 1 ft),None,Roadside/Median Ditch,Weeds and/or Debris,Normal,,,culvertam5@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-28T11:47:06.684755,2023-06-28T11:50:08.768625,1.11,1.6600000000000001,,https://na.api.maps.trimblegeospatial.com/forms/images/1b15ef4c-9d7e-4edc-9acb-5ef2dc9be313?hash=3HKMjl9zTZ5Riy9%2femtNNdcU4L7rPBdBe%2bYg2PSWIwA%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/3e942064-cb96-45c8-91c4-ef7519e023a8?hash=vZXYy9deSMgngfhuqyNNHtnbpsQjumgeGrSr8d8BfJ8%3d&projectId=bo9nt6JWFsc,-108.71828650631586,36.54364181620928,1651.894943280678
Inlet,B455,Yes,,No,Corrugated Metal,1,No End Section,No End Section,,Arch Pipe,None,None Evident,28,20,,Clean,Minor Scour (1 to 3 ft),None,Dry Arroyo/Ephemeral,Good,Normal,,,culvertam2@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600_2,Autonomous,2023-06-20T10:34:16.537688,2023-06-20T10:51:29.650704,1.35,1.6600000000000001,,https://na.api.maps.trimblegeospatial.com/forms/images/0300dbe6-3207-4d19-8082-a89c1e411e63?hash=%2f8%2b6VDh7MNV5EfT00WRtLlBvQYDyfBAhGzhPJLep8S0%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/0f86309f-f24a-4fa8-9372-8eab7da42df2?hash=q8h4QPqkJGhRGXSIDvSYeIpHKLbKbeOV6BNIwxlZuug%3d&projectId=bo9nt6JWFsc,-109.02818739213178,36.83945620890886,1718.7812821742405
Outlet,C490,Yes,,No,Corrugated Metal,1,Metal End Section,Metal End Section,,Circular,None,Not Known,48,48,,Minor Silting (<10%),Little or no Scour ( < 1 ft),None,Dry Arroyo/Ephemeral,Dry/Heavily Vegetated,Normal,,,culvertam3@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-07T14:16:34.84199,,0.98,1.48,,https://na.api.maps.trimblegeospatial.com/forms/images/f5ae04bc-5b8b-463d-a901-b690df7d4a4d?hash=41oH0yNHRRkTgsbt2f29WIH17s19ISwYnAoqf82HUdQ%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/e02b7c62-e928-4dcc-ad81-446e6bc32792?hash=v0XvYjaDe86YD8QldGOmRjvYty5ghXTBl5wSMnyP7jE%3d&projectId=bo9nt6JWFsc,-108.16134871259966,36.15744966965658,1868.926898378346
CDI,B588,Yes,,Yes,Corrugated Metal,2,MDI / SDI / CDI,Unknown,2 pipes (straight across),Circular,None,None Evident,24,24,,Clean,Little or no Scour ( < 1 ft),Other,Other,,Normal,,,culvertam2@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600_2,Autonomous,2023-06-27T08:00:07.441124,2023-06-27T08:01:45.123261,0.89,1.29,,https://na.api.maps.trimblegeospatial.com/forms/images/d1799083-5e41-492d-ad79-b98ff7347b85?hash=JKjTxGxNCm81ZcaohgD%2f7L8aNS%2bxgvUzgI1EzSPtgyA%3d&projectId=bo9nt6JWFsc,-104.44035309259225,36.887733177481465,2004.6889424433828
Inlet,C855,Yes,,No,Corrugated Metal,1,Concrete Slope Blanket with Safety Grate,Concrete Slope Blanket with Safety Grate,,Circular,None,Minor (Rusting on Inside OR Outside),36,36,,Clean,Little or no Scour ( < 1 ft),None,Dry Arroyo/Ephemeral,Good,Right Forward,45,"Slope is scoured above outlet, outlet outside of ROW fence",culvertam3@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-21T12:23:45.817951,,1.06,1.5899999999999999,,https://na.api.maps.trimblegeospatial.com/forms/images/dd9328a0-3fd2-44c2-9be2-c925bbc62aeb?hash=5i5Z7Dg158CE74W1EVzr5cqpsTYnL98hE9P%2bXEy9zcc%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/5d42ba92-4061-4840-a431-4aa6646a3ab3?hash=ZykZDjuVTOaIz5p9X2ldKstPkVS9qiZzU59RIUQFFbo%3d&projectId=bo9nt6JWFsc,-106.32893051099687,35.599988815696484,1607.6653446623425
Outlet,C334,Yes,,No,Concrete,3,CBC without Apron,Unknown,,Box,None,,120,84,30,Clean,Little or no Scour ( < 1 ft),Wire-Enclosed Rip-Rap Pad,Dry Arroyo/Ephemeral,Weeds and/or Debris,Normal,,,culvertam3@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-06T07:44:35.269111,,0.85,1.27,,https://na.api.maps.trimblegeospatial.com/forms/images/9a587fec-9285-40ff-a9a1-9e532ff1a469?hash=KXkuDTjqOiDC733RgDYCUaJf81rtL1IuNocDmvojF4k%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/3ad1defd-92ef-449b-bd3c-2c14e57817d2?hash=4T0wcE9uuctvMMgMwaDllrbK551cZDXAoOLFcpfF04U%3d&projectId=bo9nt6JWFsc,-108.23414375779264,36.63121578084598,1797.2861176931947
Other,C756,No,Traffic,Yes,,1,MDI / SDI / CDI,,,,,,,,,,,,,,,,GPS location is across road from MDI,culvertam3@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-19T14:13:30.032048,2023-06-19T14:14:43.452424,0.81,1.21,,https://na.api.maps.trimblegeospatial.com/forms/images/5855cd6d-d9aa-4232-823a-0310f2e89348?hash=bUaYqb1QP4GMX0EHRUl2fmJcC%2fg2sV%2fvFxkqdT7qe6k%3d&projectId=bo9nt6JWFsc,-106.32082412021235,35.11510372063342,2062.01198133774
Outlet,D299,Yes,,No,Corrugated Metal,1,Metal End Section,Metal End Section,,Circular,None,None Evident,54,54,,Clean,Little or no Scour ( < 1 ft),None,Dry Arroyo/Ephemeral,Weeds and/or Debris,Right Forward,45,End section has safety grate ,culvertam4@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-05-31T15:58:33.096214,2023-05-31T16:45:03.884302,1.12,1.6800000000000002,,https://na.api.maps.trimblegeospatial.com/forms/images/b1625a4a-ff71-476a-b5e6-69e7882f4207?hash=UK1J53BNWAdu4zTnbwoIdoPXaQFaLM1plJvcHqpfVDU%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/15c16be4-fafd-4886-9aaa-2a02b0dc966f?hash=diEh%2f67EKkPqEWS3n5Jn4f5gFGA7MM4auAH3yqmjZyk%3d&projectId=bo9nt6JWFsc,-107.17345507939231,36.10661869555227,2160.7155097949517
Outlet,B112,Yes,,No,Corrugated Metal,1,Concrete Slope Blanket with Safety Grate,Concrete Slope Blanket with Safety Grate,,Circular,None,Minor (Rusting on Inside OR Outside),24,24,,30% to 60% Silted,Little or no Scour ( < 1 ft),None,Dry Arroyo/Ephemeral,Dry/Heavily Vegetated,Normal,,,culvertam2@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600_2,Autonomous,2023-05-30T14:00:22.467685,,1.34,2.14,,https://na.api.maps.trimblegeospatial.com/forms/images/c652a13b-3280-4ec1-ad84-156ccc8e2890?hash=JOl7tjj7CZr1I4oOHVyKZYWkzFf3Qz5gzyNLPtVVbv4%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/41582af7-08de-4c46-ad22-656dcdd31413?hash=iUURqQTqI6j4wTbhHLVxPJzVT9k32oLyjT%2fIfHzb9%2f0%3d&projectId=bo9nt6JWFsc,-108.93681652635435,35.627215189819175,2076.5151888370024
CDI,B628,Yes,,Yes,Corrugated Metal,2,MDI / SDI / CDI,Unknown,2 pipes (straight across),Circular,None,Not Known,,,,Minor Silting (<10%),Little or no Scour ( < 1 ft),Other,Other,,Normal,,Too deep to get messurments ,culvertam2@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600_2,Autonomous,2023-06-27T11:10:42.076349,,1.49,2.09,,https://na.api.maps.trimblegeospatial.com/forms/images/ef635d39-0d4d-4fec-bb4e-c80589ec315f?hash=30XGuEwwgKv1QqRZ51dksoSxQLtbqH%2fXiyG5vY4nW3A%3d&projectId=bo9nt6JWFsc,-104.4365707606867,36.88485367732598,1997.397762778362
Inlet,C497,Yes,,No,Corrugated Metal,1,Metal End Section,Metal End Section,,Arch Pipe,None,Not Known,42,29,,10% to 30% Silted,Little or no Scour ( < 1 ft),None,Roadside/Median Ditch,Weeds and/or Debris,Normal,,,culvertam3@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-07T15:00:47.074342,,1.1,1.6600000000000001,,https://na.api.maps.trimblegeospatial.com/forms/images/ba363e8a-99fc-4b95-b610-0d021fbfa584?hash=pNR2K%2bxQ4tYRar2%2fAClxQPvM9DKgvHuqtMZQIMLeaTY%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/5d2f299a-8fd8-44f3-a6ea-ae77733f10f5?hash=n%2fbOzeWdLHftZCl6FLge0Nx76PCvB%2btNtVWq4ayK4U0%3d&projectId=bo9nt6JWFsc,-108.18033221275512,36.14127350808176,1871.0364505884754
Inlet,C711,Yes,,No,Corrugated Metal,1,No End Section,No End Section,,Circular,Heavy Damage (metal),None Evident,24,24,,Clean,Little or no Scour ( < 1 ft),None,Roadside/Median Ditch,Dry/Heavily Vegetated,Normal,,,culvertam3@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-15T09:20:35.644823,,1.32,1.98,,https://na.api.maps.trimblegeospatial.com/forms/images/edade293-7123-41e8-a584-8b03db9f97b6?hash=KzuxDysrAxVeM5FkhUAtJHnTUBLz2gGhOxwtFnpD7OY%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/eb7c509d-433b-47c3-9af8-3bc0a663bef1?hash=5TNoCpzy5arCjJZvW%2bHrO1xNNZ90Hu%2fVpyzQhqyjF6Y%3d&projectId=bo9nt6JWFsc,-107.62764149737787,36.78729667046665,1919.1938091609827
Inlet,E213,Yes,,No,Concrete,1,CBC without Apron,CBC without Apron,,Box,None,,144,72,,Minor Silting (<10%),Little or no Scour ( < 1 ft),None,Dry Arroyo/Ephemeral,Dry/Heavily Vegetated,Normal,,,culvertam5@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-20T13:36:45.953375,2023-06-20T14:14:25.587771,0.99,1.49,,https://na.api.maps.trimblegeospatial.com/forms/images/0c47b89a-31a7-4b55-8b20-160f64ca8757?hash=zrQxzAP7La4yh8LJ8CVfnqd%2bf4viJGnA8H2d%2bLSuVpU%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/a1ab6a8f-2b47-49fb-be97-54f909e139a9?hash=qST2Z%2fvcbjth24WxcFxZuj%2bgajino3YP2mmioMHFUh8%3d&projectId=bo9nt6JWFsc,-108.7060714966339,36.63863402071776,1580.1672068007058
Outlet,E85,Yes,,No,Concrete,1,No End Section,No End Section,,Circular,"Spalling, No Exposed Rebar (concrete)",,24,24,,60% to 90% Silted,Little or no Scour ( < 1 ft),None,Roadside/Median Ditch,Good,Normal,,,culvertam5@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-12T14:39:57.898356,,0.65,0.98,,https://na.api.maps.trimblegeospatial.com/forms/images/de643db3-04cc-4fd7-9d74-29340f5639b1?hash=MK%2fGlLuzAIdXXrBVJ1JBa6YmTYRC5I0hSE2oBuF%2fbIs%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/39e64da5-8fd6-403a-bcd2-6b0d9245f106?hash=uefKL6NHSleS05w%2fKjGgdr76QicYJQciDV7oE21yEoY%3d&projectId=bo9nt6JWFsc,-108.21728642044899,36.65157927717558,1844.2519287465443
Inlet,B369,Yes,,No,Corrugated Metal,1,Metal End Section,Headwall with Wingwalls,,Circular,Heavy Damage (metal),Major,36,36,,Clean,Severe Scour ( > 8 ft),None,Dry Arroyo/Ephemeral,Channel Degrading,Normal,,Hole in top of inlet pipe,culvertam2@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600_2,Autonomous,2023-06-13T14:37:55.746455,,1.07,1.52,,https://na.api.maps.trimblegeospatial.com/forms/images/458f6abe-c787-4a02-bc8f-086a51d49d46?hash=Yc8x440pldOeN9QstLyb3jTP5miLPLjXSyxtUd7HgDk%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/401cdd73-0eaa-4c3f-ba66-4ea0176185cc?hash=RoqOZ8FgAF6jfYnQdtrZacRWu5Wa6IsI1t7SW7wDQo4%3d&projectId=bo9nt6JWFsc,-108.84199793446395,36.09619478192274,2459.009593111378
Inlet,D985,Yes,,No,Corrugated Metal,1,Metal End Section,Metal End Section,,Circular,None,None Evident,42,42,,Minor Silting (<10%),Little or no Scour ( < 1 ft),None,Dry Arroyo/Ephemeral,Dry/Heavily Vegetated,Normal,,,culvertam4@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-27T09:52:42.512768,,1.21,1.82,,https://na.api.maps.trimblegeospatial.com/forms/images/8483d3a5-deae-42ac-8fe1-ad9a2253685c?hash=wKrbJpl7sOp3s9ivVpxL0MYhXIoQrL3c4hrlnkWx85M%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/2499792f-cab8-49fd-8303-16ef00ded0d0?hash=8aB8Qm2d8SvQ6m2m0Uoxhb%2btx72BQof%2f0khgaMU%2b7mY%3d&projectId=bo9nt6JWFsc,-106.83247311841137,36.89564187212862,2259.3886013080682
Outlet,D863,Yes,,No,Corrugated Metal,1,No End Section,No End Section,,Circular,None,None Evident,24,24,,Clean,Little or no Scour ( < 1 ft),None,Dry Arroyo/Ephemeral,Good,Normal,,,culvertam4@npe.nmt.edu,None,Camp_PhaseII_Production_06192023,Trimble TDC600,Autonomous,2023-06-21T15:54:05.089064,,0.77,1.16,,https://na.api.maps.trimblegeospatial.com/forms/images/21e06db5-15ea-49cd-b748-810feaba8ed9?hash=xsenfRjt%2bZDX6Xs7Pvqd2wSsmN9EMney4%2bl58TeZ1Q4%3d&projectId=bo9nt6JWFsc|https://na.api.maps.trimblegeospatial.com/forms/images/4bf39015-1556-4145-9a7b-07728b945097?hash=YlHeaUN4%2fPl4X8fpvkDgjDyZ8LIZtcBh3sWVgJwM5dI%3d&projectId=bo9nt6JWFsc,-106.74906820865915,36.58602856858305,2112.2867273302913
