Culvert ID,Question,Input,Comment_QC,Comment_FO
A224,Physical Damage ?,Minor,Moderate Damage,Corrected. We said minor because we can tell the damage would not impede flow.
A225,Inlet End Section,other,NEP,"There is metal addition towards the end of the culvert, we do not know what type of end section it is, hence our choice of others."
A229,,,,
A232,,,,
A236,,,,
A239,Silting,30% to 60% Silted,Around 90% silting,Corrected.
A241,,,,
A243,,,,
A245,Silting,30% to 60% Silted,Around 90% silting,Corrected
A250,,,,
A254,,,,
A258,,,,
B81,,,,
B83,Physical Damage?,Minor Damage (metal),NEP,
B87,Culvar shape?,Circular,NEP,
B87,Siliting,30%-60%,60%-90% silting,
B92,,,,
B94,,,,
B97,,,,
B98,,,,
C149,,,,
C151,Silting,Clean,From one side of the pipe it's seem 10% to 30% silted,
C154,Scour,Minor,major scour (> 3 ft),
C159,,,,
C161,,,,
C163,,,,
D176,Span In/ Rise,26,It's not standard pipe size,updated to correct standard size
D176,Scour,Little or no scour,minor scour (1 to 3 ft),where it was placed it wasn't creating scour.
D179,Corroision,Moderate,Major,agree to update to major
D179,Span In/ Rise,26,It's not standard pipe size,updated to correct standard size
D180,Physical Damage?,Minor,Moderate Damage s,added minor because it isn't disrupting flow or issues
D180,Span In/ Rise,32,It's not standard pipe size,updated to correct standard size
D185,Corroison,Moderate,Major,
D185,Span In/ Rise,50,It's not standard pipe size,updated to correct standard
D193,Span In/ Rise,32,It's not standard pipe size,updated to correct standard
D195,Span In/ Rise,32,It's not standard pipe size,updated to correct standard size
D196,Span In/ Rise,30,It's not standard pipe size,30 is listed as standard size
D200,Number of Culverts,1,2,updated
D201,Number of Culverts,2,1,there are two. Review comment
D202,Span In/ Rise,74,It's not standard pipe size,updated to correct standard
A60,Inlet End Section Type,Metal End Section,"NEP,",Was found after image was taken.
A60,Physical Damage,None,"NEP; (None means good)
Put other",Corrected
A60,Corrosion,None evident,"None evident means good;
You can put Not Known",Corrected
A11,,,,
A27,,,,
A34,,,,
A19,Accessible,No,NEP,Accessibility was marked Yes
A19,Corrosion,None evident,"None evident means good;
You can put Not Known",Corrected
A19,Span In Rise In,"24,24",You can put comment; Its hard to say,Measurement is correct
A55,Corrosion,None evident,"None evident means good;
You can put 
Minor (see booklet)",Corrected
A55,Erosion Control,Grouted Rip Rap,NEP,Can confirm there is Grouted Rip Rap
A45,Erosion Control,None,Since CBC; leave null,Corrected
A49,Corrosion,None evident,"None evident means good;
You can put 
Minor (see booklet)",Corrected
A36,Corrosion,None evident,"None evident means good;
You can put 
Minor (see booklet)",Corrected
A66,Culvert ID,66,Alphabet missing,Corrected
A61,Number of Culverts,1,"Inaccessible, so how do they determine the number?",Corrected
A32,OutletEndSectionType,Metal End Section,NEP,Was found after picture was taken
A56,,,,
A29,,,,
A8,,,,
A40,,,,
A42,,,,
A53,,,,
B15,,,,
B26,,,,
B29,Corrosion,None evident,"None evident means good;
You can put 
Not Known",changed
B13,,,,
B3,,,,
B4,,,,
B25,,,,
B35,,,,
B36,,,,
C48,Inlet/Outlet section type,concrete slope blanket,It should be concrete slope blanket with safety grate,
C43,,,,
C40,,,,
C14,,,This is not accessible so lot of information missing,
C6,,,"Since CDI, a lot of information is missing",
C2,,,,
C21,,,,
C27,,,,
C3,,,,
C20,,,,
C33,,,,
C34,,,,
D2,Corrosion,None evident,"None evident means good;
It's hard say the corrosion condition from picture",There was no corrosion present in the culvert itself. The safety grate had minor corrosion.
D22,Accessible,Yes,NEP; you can check with book,for the inlet/outlet we were able to access the culvert and take the acquired information.
D22,Scour,Minor Scour (1 to 3 ft),NEP,checked and still believe it's minor scour. Not evident in picture but evident in person with the equipment
D18,Corrosion,None evident,"None evident means good;
It's hard say the corrosion condition from picture",concrete culvert. Does not have corrosion. Could not delete the mistake of deleting our selection in corrosion.
D18,Silted,10% to 30% Silted,From one picture it supposed more silted,not evident in the picture. Vegetation is taller then the silt itself. We still agree that there is 10-30% silt.
D25,Accessible,Yes,It looks inaccessible,it was accesible. We were in the mud for a couple of minutes to acquire data
D25,Physical Damage,Moderate Damage,It's look heavy damage,we still agree that it is moderate. The culvert is still usable and we were still able to gain measurement from the culvert. The only issue with getting accurate measurement was water.
D25,Corrosion,None evident,"None evident means good;
You can put 
Not Known",agreed to change to not known because water was present
D24,,,,
D27,,,,
D31,,,,
D6,CulvertAccessibility,Yes,Looks filled with the running water,changed to other and made a comment that half of the culvert had running water.
D6,Silting,Minor Silting (<10%),Should not be determined because of water.,was determined by being able to touch the under water part of the culvert and felt not silt
D6,Scour,Little or no Scour ( < 1 ft),Should not be determined because of water.,topography looked flat with the vegetation which is why no scour was inputted
D23,CulvertAccessibility,Yes,Looks filled with the running water,changed to below water.
D23,Silting,10% to 30% Silted,Should not be determined because of water.,the shovel was pushed into the silt until we felt the other end of the culvert
D23,Scour,Little or no Scour ( < 1 ft),Should not be determined because of water.,topography looked flat with the vegetation which is why no scour was inputted
D13,CulvertAccessibility,Yes,Looks filled with the running water,changed to under water
D13,Scour,Minor Scour (1 to 3 ft),Should not be determined because of water.,was determined with the measurement staff. Will keep in mind next time.
A315,inlet/outlet end section,No end section,"NEP; 
Not known is the good option",Corrected
A315,Corroision,Minor,Not known,Corrected.
A315,silting,30% to 60% silting,60% to 90% silting,corrected
A325,,,,
A285,Silting/ Scour,Null,I just want to make sure was it difficult in observing silting and scour?,"We had no direct access to CDI, so we could not tell if silted or not."
A298,Physical damage?,other,None,corrected
A303,,,,
A337,Physical damage?,other,None,"NEP, but the plastic culvert is broken at the top."
A327,,,,
A322,Accessible?,Yes,No,We were able to dig enough to measure the span.
A322,Corroision,Minor,Since silted more than 90% it's hard to say about minor corrosion.,Corrected.
A331,Corroision,None Evident,Since it's concrete so leave blank corrosion,could not deselect.
A294,,,,
A320,,,,
A306,silting,10% to 30%,More than 30% silting,corrected.
A316,,,,
A264,,,,
A324,,,,
A275,,,,
A330,Channel Condition,Good,Weed/debris,weed appears not to impede flow.
A284,,,,
A261,,,,
A300,,,,
A319,,,,
A270,,,,
A262,,,,
A271,,,,
B110,,,,
B116,,,,
B120,Physical Damage ?,None,Minor,updated
B120,Corroision,None evident,Minor,"there is no corrosion, it was dirt."
B113,,,,
B106,Culvert Accessibility,No,Yes,updated
B118,,,,
B119,Culvert Accessibility,No,Yes,updated
B122,Raise In,39,As it's circular so Span In and Rise In should be equal,it was a typing mistake. updated.
C167,Scour,Little or no scour,Minor scour,updated
C169,,,,
C198,Physical Damage,Moderate,Heavy,"damage only moderately effects flow through the culvert, most of the damage is to the end section"
C197,,,,
C174,,,,
C165,,,,
C187,,,,
C192,,,,
C166,,,,
C201,,,,
C196,,,,
C177,Scour,Severe Scour (> 8 ft),Little or no Scour (< 1 ft),"the scour was addressed in the comment, shortly after the end of the culvert the ground drops off and is hollow."
D209,Inlet End Section,No end section,Metal end section,updated
D209,Outlet End Section,No end section,Metal end section,updated
D209,Corrosion,Non evident,Minor Corrosion,it was just silt
D209,Channel Condition,Weeds and Debris,NEP,could not go farther back to provide more evidence due to fence line.
D233,Physical Damage,Minor,"Moderate, when we look the side of the end section in one picture.",determined to update
D205,Inlet end section,No end section,Metal end section,agreed to update
D205,Physical damage,Moderate damage,Heavy damage,"it's not disrupting the outflow because culvert is okay, it's just the end section."
D205,Corrosion,None evident,Minor,updated.
D250,Corrosion,Not Known,From one picture we can say Minor,we added ast not known because inlet doesn't seem to have any but we can't say none evident because outlet is silted and doesn't allow us to see
D250,Siliting,10% to 30%,NEP,review first image of the outlet
D250,Channel Type and Channel condition,,For channel type report no channel evident but in channelcondition report heavy vegeted; so it's mismatch the given information.,changed to ephemeral
D226,,,,
D212,GPS point location,,Missing,our Trimble says it's collected
D239,Channel Type and Channel condition,,For channel type report no channel evident but in channelcondition report heavy vegeted; so it's mismatch the given information.,updated
D216,,,,
D244,,,,
D229,,,,
D222,,,,
D203,,,,
D211,,,,
D243,,,,
D221,,,,
D204,,,,
A379,,,,
A376,Physical Damage,Moderate,"Since in your comment you write due to too damage you can't measure correctly span in and rise In, so I think Heavy physical damage.",Corrected.
A374,,,,
A373,,,,
A370,Outlet end section,No end section,"since outlet is under the water, did you verify that there is no end section?","Yes, we verified, outlet has no end section."
A370,Channel Type and Condition,,"In channel type you report non evident but in channel condition you report good, so I am little confused.",It was a mistake and we couldn't deselect.
A364,Culvart shape,Circular,From one picture it's seem Ellipse; If I am right you have to check the span in and rise in.,We measured rise and span and can confirm the culvert shape is circular.
A361,,,,
A356,,,,
A354,,,,
A349,Silting,,You could input > 90% silting as an input,We were unable to access the culvert because of steep slopes and so can't tell if silted or not.
A347,,,,
A344,,,,
A339,,,,
A338,Silting,Minor Silting (<10%),"From the photo, it looks like siliting is heavier. please double check","We are confident the culvert has minor silting, however, there are heavy weeds on the culvert."
B166,,,,
B164,,,,
B163,,,,
B160,,,,
B154,,,,
B150,,,,
B147,,,,
B138,,,,
B137,,,,
B134,,,,
B131,,,,
B127,,,,
B126,,,,
B124,,,,
C227,,,,
C226,,,"Since the culvert is accessible why most of the informations are missing, please mention in comment section",corrected
C222,,,,
C221,,,,
C218,Corrision,None evident,Not known,corrected
C218,Silting,10% to 30%,30% to 60%,corrected
C214,,,,
C212,,,,
C208,,,,
C205,,,,
C202,,,,
D299,Corrosion,None evident,Minor,just the silt
D294,,,,
D292,Silting,10% to 30%,30% to 60%,"the safety grate part only had a lot of silt due to safety grate, culvert itself has 10% to 30%"
D290,,,,
D287,,,,
D284,Material,Other,"The inlet and outlet end sections are different, but the pipe inside is corrugated metal ","no, when we walked through the culvert inside of it. Half of it had been a concrete culvert and the other half was corrugated metal."
D284,Corrosion,None evident,Minor,just silt
D280,Material,Other,"The inlet and outlet end sections are different, but the pipe inside is corrugated metal ","no, when we walked through the culvert inside of it. Half of it had been a concrete culvert and the other half was corrugated metal."
D277,Material,Other,"The inlet and outlet end sections are different, but the pipe inside is corrugated metal ","no, when we walked through the culvert inside of it. Half of it had been a concrete culvert and the other half was corrugated metal."
D270,,,,
D268,,,,
D264,,,,
D262,,,,
D259,Number of Culverts,2,It looks like 1,"there are 2, just heavily vegetated"
D259,Width of MultiCulverts Ft,9,If number of culvert is 1 then it should be blank,there is more than one
D258,,,,
D255,,,,
D253,,,,
A478,,,,
A475,,,,
A474,,,,
A470,Channel type,No channel evident,"Since some water is seen infront of the culvert, can you make sure please channel type and channel condition.",
A467,Physical damage,Minor,Moderate,
A467,,silting,30% to 60%,
A463,,,,
A458,Material,Blank,"Material is visible, so you can indicate it.",
A458,Silting,Blank,It's clearly > 90% silting,
A455,,,,
A452,,,,
A451,Silting,10% to 30% Silted,Looks like minor silting,
B222,,,,
B219,Accessible ?,No,"Yes, since most of the information you have collected.",
B216,,,,
B212,,,,
C310,,,,
C306,,,,
C304,Accessible,Yes,No,
C302,,,,
C299,,,,
C295,,,,
D384,,,,
D383,,,,
D380,silting,minor,10% to 30% silting,updated
D378,,,,
D376,,,,
D371,,,,
D370,,,,
D366,,,,
B247,,,,
B246,,,,
B250,,,,
B265,,,,
B252,,,,
B259,,,,
B248,,,,
B263,,,,
B254,,,,
B258,,,,
C373,,,,
C384,,,,
C340,,,,
C376,Inlet End Section,Metal End Section,Since inlet is not located (from your comment) so Not known is best option.,Updated
C353,Number of Culverts,1,3,Updated
C362,Corrosion,Minor,Moderate (from outside of the pipe),Updated
C392,Outlet end section,Metal end section,"Since outlet is inaccessible, can you ensure the outlet end section type?","Updated, the end section was visible but not in the picture"
C392,Silting,Clean,"Since there some silt inside the pipe, so we can say Minor silting.",Updated
C380,,,,
C382,,,,
C370,GPS point location,,Missing,Updated
C335,,,,
C404,,,,
C418,,,,
C336,,,,
C339,,,,
C347,GPS Point Location,,The field is blank,Since we could not determine which side was inlet or outlet we left it blank.
C381,,,,
C387,,,,
C390,,,,
C414,,,,
C421,,,,
C355,,,,
C341,,,,
C393,,,,
C398,,,,
C377,,,,
D448,,,,
D434,Physical Damage,Minor,Moderate,still minor damage. Nothing is obstructing the flow of the water.
D456,,,,
D446,Physical Damage,None,Minor,updated
D432,Silting,clean,"Since there is some visible silt inside, I think minor silting is good option.","could potentially still be considered clean, but updated."
D442,,,,
D445,,,,
D427,,,,
D453,,,,
D455,,,,
D441,,,,
D431,,,,
D416,,,,
D433,,,,
E41,,,,
E25,,,,
E20,,,,
E30,Corrosion,Minor,None Evident,corrosion inside the culvert
E27,Corrosion,Minor,None Evident,corrosion inside the culvert
E28,Corrosion,Major,Minor,"there's major corrosion inside the culvert, we already commented about it."
E39,,,,
E16,,,,
E33,,,,
E24,,,,
B315,Number of culvert,5,"NEP, although you mention in your comment, can you ensure number of culvert?",
B315,Channel type and condition,No channel evident,"For channel type your answer was No channel evident, but in channel condition you mention heavy vegeted, so there is some mismatch information.",
B313,,,,
B311,,,,
B308,,,,
B304,,,,
B302,Silting,60% to 90% Silted,> 90% silted,
C517,Culvert Accessible?,Yes,"Since you could not measure span in and rise in due to heavy silting, culvert is inaccessible",
C514,,,,
C510,,,,
C506,Culvert Accessibility,Yes,No,
C506,Silting,Blank,> 90%,
C505,GPS Point Location,Outlet,"T-Post Reflector, or please double check whether it was an outlet.",
C503,,,,
D507,Silting,Null,I think you can put 60% to 90% silted,"ok, updated . We had mentioned out input on the comments"
D504,Physical Damage,None,Minor,"ok, updated"
D503,,,,
D500,Inlet End Section Type,Metal End Section,Metal culverts with safety grates,please review the comment.
D500,Outlet End Section Type,Metal End Section,"Metal culverts with safety grates, if there is any option like that please input",please review the comment. There is no option of metal end section with safety grate.
D496,,,,
D494,,,,
E80,,,,
E78,,,,
E76,Physical Damage,Moderate,Looks Major,
E75,,,,
A404,Inlet and outlet end section,other,headwall,
A404,Physical damage,other,spalling and cracks on headwall/apron,
A428,,,,
A397,Physical damage,None,Moderate,
A397,Corrosion,Moderate,None evident,
A421,Corrosion,Moderate,Minor,
A425,Corrosion,Moderate,Minor,
A446,Physical damage,Minor,Moderate,
A437,Physical damage,Minor,Moderate,
A437,Corrosion,Moderate,Minor or none evident,
A399,Corrosion,Moderate,Minor,
A399,Silting,clean,minor,
A401,Physical Damage,Minor,None,
A401,Silting,Minor,clean,
A443,Physical Damage,Minor,Moderate,
A433,Silting,30% to 60%,60% to 90%,
A429,Gps Point Location,,Why the field is blank?,
A423,Culvert Shape,,The field is empty; it should be a circle.,
A387,,,,
A413,,,,
A402,,,,
A417,,,,
A418,,,,
A398,,,,
A400,,,,
A411,,,,
A403,,,,
B193,Silting,10% to 30%,"Since outlet is heavily vegeted with silting, can you ensure the silting percentage within pipe?",We were able to move the vegetation and look inside.
B178,,,,
B167,,,,
B175,,,,
B194,Culvert Shape ?,Circular,Ellipse; If it's ellipse please update the risein and span in.,First we thought its an ellipse. that's why we measured it twice.
B194,Corroision,Moeerate,Minor,moderate corrosion visible inside the culvert.
B200,Inlet end section,Missing,"You don't put any comment
why inlet endsection is missing.",updated
B198,,,,
B172,,,,
B201,,,,
B179,,,,
B204,,,,
B183,,,,
B187,,,,
B199,,,,
C290,,,,
C267,,,,
C264,,,,
C285,,,,
C229,,,,
C261,Culvert shape?,Circular,"NEP; Ellipse.
If it's an ellipse please check span in and rise in.",it is circular
C230,Outlet end section,No end section,other,"it did not have an end section, it is a cattle fence placed against the end."
C270,Channel condition,good,heavily vegetated,Corrected
C277,,,,
C250,Physical Damage,Minor,Moderate,damage has little effect on flow so is minor damage
C274,,,,
C293,,,,
C262,,,,
C283,,,,
C243,,,,
C240,Number of Culvert,1,"In your comment, you mentioned, culvert could not be located. Then how do you count the number of culverts?","Information field is auto filled when creating a form, we forgot to remove it"
C260,,,,
C248,,,,
C292,,,,
C278,,,,
D323,,,"Can you check this point please, there is no photo and other relevant information.",fixed the problem and added information
D312,,,,
D343,,,,
D333,Silting,Minor,Clean,believed that it can still be minor since there's some in the culvert.
D309,,,,
D329,Corrosion,Moderate,Minor,rusting nep but there was rusting inside and outside. Comment has been made on the form
D337,,,,
D306,,,,
D308,,,,
D353,,,,
D304,,,,
D330,,,,
D338,,,,
D332,,,,
D316,,,,
D318,Silting,10% to 30% Silted,It looks more than 30% silted.,only on the outside of the culver and vegetation is very height. The culvert has 10-30% silt
D355,,,,
D341,Silting,Clear,It doesn't look clean. Can put minor silting.,the culvert itself was clean until the very end where the safety grate was in outlet.
D313,Silting,10% to 30% Silted,Should be minor silting.,updated
B230,,,,
B227,,,,
B242,,,,
B229,Corrosion,None Evident,Minor,Corrosion is actually dirt
B243,,,,
B236,Number of Culvert,1,Should be 2,Error Corrected
B234,,,,
B225,,,,
C311,,,,
C323,Physical Damage,None,Minor,Updated
C330,,,,
C332,,,,
C327,,,,
C326,,,,
C322,Silting,Clean,Looks like inlet is silted,Updated
C313,,,,
D389,Number of culverts?,3,"NEP, 2","please review comments, there are 3 culverts"
D389,Silting,Minor < 10%,"NEP, 60% to 90%","not 60% to 90% the culvert has minor silting, the plants where the safety grate makes it seem like there is more"
D391,Physical Damage,Minor,"Since end let action is disjointed from the pipe, so i think it's a heavy damage","changed to heavy, however, it was not obstructing the flow."
D386,,,,
D411,,,,
D404,,,,
D390,,,,
D388,Silting,60% to 90%,Looks like > 90%,updated
D405,,,,
D413,,,,
D412,,,,
E2,Physical Damage,No input,None,updated
E12,,,,
E13,Scour,Severe Scour,Doesn't looks like a severe scour,"scour isn't visible in the picture, so we updated the comment."
E5,,,,
A596,Silting,30% to 60%,Looks 100%,Corrected
A594,,,,
A593,,,,
A589,,,,
A584,,,,
A575,,,,
A570,,,,
A568,,,,
A565,Silting,30% to 60%,Looks > 90%,"Only silted at ends of culvert, inside was nearly clean."
A562,,,,
A561,,,,
A560,,,,
A630,Silting,Clean,Minor,Corrected
A624,Physical Damage,Moderate,NEP,Could not get a good picture of damage due to water.
A623,,,,
A622,,,,
A614,Corrosion,Not Known,None evident,Not Known due to vegetation and silting.
A610,,,,
A609,Physical Damage,Moderate,Minor,"Moderate, since shape of the culvert altered."
A606,,,,
A605,,,,
A604,,,,
A602,Physical Damage,Moderate,Minor,"Moderate, since shape of the culvert altered."
A602,Corrosion,Moderate,"Not Known, since the culvert is 90% silted.","Silting is marked at 60%-90%, closer to 60%. Moderate corrosion was assessed."
A601,Physical Damage,Minor,"Moderate, sice shape of the culvert altered.",Corrected
B369,,,,
B357,,,,
B354,,,,
B342,Inlet and Outlet End Section,Headwall with Wingwalls,Other,"Structure fits Handbook headwall definition, does not specify need to surround pipe"
B342,Silting,Minor,Clean,Error corrected
B356,,,,
B370,,,,
B343,,,,
B355,,,,
B353,Silting,Clean,NEP,
B376,,,,
B346,,,,
B374,,,,
C606,Physical Damage,Moderate,"Major, since shape is altered.",based on handbook it is more consistent with moderate damage
C606,Corrosion,Minor,Moderate,the Pipe is only corroded on the outside so it is minor
C587,,,,
C579,,,,
C561,,,,
C628,,,,
C601,Corrosion,None Evident,Not Known,fixed
C573,,,,
C602,,,,
C629,Physical Damage,Moderate,Minor,fixed
C614,,,,
C618,,,,
C583,,,,
C565,,,,
C620,,,,
C563,,,,
C571,,,,
C589,,,,
C558,,,,
C598,Comments,Blank,"Should add comment because, this is not completely silted up!",fixed
C577,Silting,Clean,Have you checked outlet before putting silting as clean? From the photo it's not evident.,it could be seen through the culvert that the other side was not silted
C590,,,,
C574,,,,
C591,,,,
D607,Physical Damage,None,Minor,updated
D607,Corrosion,Minor,Moderate,most of it was silt. Corrosion is still minor
D575,,,,
D561,,,,
D594,Silting,60% to 90%,>90%,updated
D585,,,,
D556,,,,
D578,,,,
D583,,,,
D630,,,,
D597,,,,
D619,,,"Since the both side of the culvers seems to inaccessible, so can you make sure all reported information, specifically culvert shape, size, corrosion etc.","it was not inaccessible, we were able to acquire data"
D577,,,,
D616,,,,
D604,,,,
D592,,,,
D568,Silting,Clean,"Was it visible that it's clean, as you commented that inlet is under debrish",we were able to see it in the culvert
D568,Channel condition,Weeds and/or Debris,It looks likeswampy and heavily vegetated,changed
D627,,,,
D589,,,,
D567,,,,
D591,,,,
D626,,,,
D622,,,,
D569,,,,
D574,,,,
E126,Channel condition,Good,Weeds and/or Debris,updated
E113,,,,
E98,,,,
E97,Physical Damage,"Spalling, No Exposed Rebar (concrete)",NEP,Inlet has physical damage (not visible in picture). Changed to circular concrete pipe damage.
E97,Channel Condition,Weed and/or debris,But you reported there is no channel evident,updated channel type.
E106,Physical Damage,"Spalling, No Exposed Rebar (concrete)",NEP,changed to none.
E123,,,,
E122,,,,
E121,,,,
E110,,,,
E107,,,,
